"","GII.Rank","Country","GenIneq","Matmort","AdolBR","ParlPres","SecEduFem","SecEduMal","LabFFem","LabFMal","edu2Ratio","labRatio","HDI.Rank","HumDevIn","LifeExp","ExpEdu","MeanEdu","GNI","GNIRank"
"78",78,"Azerbaijan",0.303,26,40,15.6,93.7,97.4,62.9,69.6,1.03948772678762,0.903735632183908,78,0.751,70.8,11.9,11.2,"16,428",-11
"79",79,"Grenada",NA,23,35.4,25,NA,NA,NA,NA,NA,NA,79,0.75,73.4,15.8,8.6,"10,939",14
"80",80,"Jordan",0.473,50,26.5,11.6,69.5,78.5,15.6,66.6,1.1294964028777,0.234234234234234,80,0.748,74,13.5,9.9,"11,365",11
"81",81,"The former Yugoslav Republic of Macedonia",0.164,7,18.3,33.3,40.2,55.6,43.1,67.5,1.38308457711443,0.638518518518518,81,0.747,75.4,13.4,9.3,"11,780",9
"82",81,"Ukraine",0.286,23,25.7,11.8,91.7,95.9,53.2,66.9,1.04580152671756,0.795216741405082,81,0.747,71,15.1,11.3,"8,178",25
"83",83,"Algeria",0.413,89,10,25.7,26.7,31,15.2,72.2,1.16104868913858,0.210526315789474,83,0.736,74.8,14,7.6,"13,054",-1
"84",84,"Peru",0.406,89,50.7,22.3,56.3,66.1,68.2,84.4,1.1740674955595,0.808056872037915,84,0.734,74.6,13.1,9,"11,015",8
"85",85,"Albania",0.217,21,15.3,20.7,81.8,87.9,44.9,65.5,1.07457212713936,0.685496183206107,85,0.733,77.8,11.8,9.3,"9,943",14
"86",85,"Armenia",0.318,29,27.1,10.7,94,95,54.2,72.6,1.01063829787234,0.746556473829201,85,0.733,74.7,12.3,10.9,"8,124",22
"87",85,"Bosnia and Herzegovina",0.201,8,15.1,19.3,44.9,69.8,34.1,57.3,1.55456570155902,0.595113438045375,85,0.733,76.5,13.6,8.3,"9,638",19
"88",88,"Ecuador",0.407,87,77,41.6,40.1,39.4,54.7,82.7,0.982543640897756,0.66142684401451,88,0.732,75.9,14.2,7.6,"10,605",7
"89",89,"Saint Lucia",NA,34,56.3,20.7,NA,NA,62.7,76.2,NA,0.822834645669291,89,0.729,75.1,12.6,9.3,"9,765",14
"90",90,"China",0.191,32,8.6,23.6,58.7,71.9,63.9,78.3,1.22487223168654,0.816091954022989,90,0.727,75.8,13.1,7.5,"12,547",-7
"91",90,"Fiji",0.418,59,42.8,14,64.2,64.5,37.5,72,1.00467289719626,0.520833333333333,90,0.727,70,15.7,9.9,"7,493",21
